"state","count"
"AK","56"
"AL","303"
"AR","299"
"AZ","1096"
"CA","15286"
"CO","2029"
"CT","664"
"DE","172"
"FL","3111"
"GA","1721"
"HI","351"
"IA","326"
"ID","145"
"IL","1227"
"IN","461"
"KS","488"
"KY","290"
"LA","225"
"MA","2715"
"MD","1540"
"ME","439"
"MI","1275"
"MN","716"
"MO","1150"
"MS","138"
"MT","115"
"NC","1313"
"ND","89"
"NE","253"
"NH","212"
"NJ","1116"
"NM","263"
"NV","546"
"NY","3600"
"OH","1420"
"OK","326"
"OR","1107"
"PA","1553"
"RI","294"
"SC","451"
"SD","87"
"TN","742"
"TX","2906"
"UT","841"
"VA","1304"
"VT","358"
"WA","1942"
"WI","530"
"WV","128"
"WY","89"
NULL,"0"
