Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
CNG,X3Energy,3103 N Industrial Way,"I-25, exit onto Meadows Pkwy W, left on Industrial, at US-85",Castle Rock,CO,80104,,844-304-9800,E,,Public - Credit card at all times,24 hours daily,A D M Proprietor V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,39.407087,-104.872002,2023-01-10,633,2023-05-30 18:46:28 UTC,P,,,2013-11-01,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,NONE,58,,,,,,,,,Q,3600,MD,,,false,,,,,,true,,MD,
CNG,Clean Energy - Denver International Airport Rental Car,27700 E 78th Ave,"I-70, exit onto Pena Blvd to DIA, follow signs to rental car return",Denver,CO,80249,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D FleetOne FuelMan M Proprietor V Voyager Wright_Exp,,Q,3000 3600,,,,,,,GPS,39.83765604691739,-104.6805,2022-12-13,648,2023-08-25 15:12:32 UTC,P,,,1996-12-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,RENTAL_CAR_RETURN,1,NONE,600,,,,,,,,,Q,3000 3600,HD,,,false,,,,,,true,,HD,
LPG,Independent Propane Co,67302 US Highway 285,At Highway 285 and Wandcrest Dr,Pine,CO,80470,,303-838-9880,E,,Public,8am-4:30pm M-F,Cash M V,,,,,,,,,,GPS,39.462523,-105.400158,2022-11-10,14533,2023-02-14 15:54:11 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,,HD,
LPG,Glaser Energy Group,650 County Rd 5,,Divide,CO,80814,,719-687-1180,E,,Public,8am-5pm M-F; must have state decal,Cash Checks CREDIT D Debit M V,,,,,,,,,,GPS,38.951592,-105.157543,2022-12-13,14551,2023-02-14 15:54:11 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,,HD,
LPG,Glaser Energy Group,215 Auburn Dr,,Colorado Springs,CO,80909,,719-596-4765,E,,Public,"8am-5pm M-F, 8am-12pm Sat; must have state decal",Cash D M V,,,,,,,,,,200-9,38.836518,-104.76244,2022-11-10,14554,2023-02-14 15:54:11 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,6275 Wadsworth Bypass,At 62nd St,Arvada,CO,80003,,303-423-1292,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,39.810594,-105.079996,2023-02-13,20334,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,13721 E Colfax Ave,At I-225,Aurora,CO,80011,,303-360-9944,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,39.740617,-104.827797,2023-02-13,20335,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,615 S Havana St,At Mississippi,Aurora,CO,80012,,303-340-3070,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,39.705021,-104.8666,2023-02-13,20336,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,8001 Federal Blvd,At 80th St,Westminster,CO,80031,,303-426-6155,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,39.842034,-105.025261,2023-02-13,20337,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,2645 W Alameda Ave,"West of I-25, at Conosa and Alameda",Denver,CO,80219,,303-922-8225,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,39.711528,-105.01878,2023-02-13,20343,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
